week_date,artist,streams,is_umg,is_blackout
2024-12-12,Tate McRae,11162923,0,0
2024-12-19,Billie Eilish,106221965,1,0
2024-12-19,Noah Kahan,10600901,1,0
2024-12-19,Dua Lipa,0,0,0
2024-12-19,Travis Scott,21626974,0,0
2024-12-19,Ed Sheeran,35346367,0,0
2024-12-19,Miley Cyrus,10304355,0,0
2024-12-19,SZA,93262899,0,0
2024-12-19,Harry Styles,9957996,0,0
2024-12-19,Jack Harlow,0,0,0
2024-12-19,Tate McRae,10484492,0,0
2024-12-26,Billie Eilish,95237951,1,0
2024-12-26,Noah Kahan,0,1,0
2024-12-26,Dua Lipa,0,0,0
2024-12-26,Travis Scott,12138695,0,0
2024-12-26,Ed Sheeran,49951016,0,0
2024-12-26,Miley Cyrus,9523995,0,0
2024-12-26,SZA,120174386,0,0
2024-12-26,Harry Styles,0,0,0
2024-12-26,Jack Harlow,0,0,0
2024-12-26,Tate McRae,0,0,0
2025-01-02,Billie Eilish,98606543,1,0
2025-01-02,Noah Kahan,10259157,1,0
2025-01-02,Dua Lipa,0,0,0
2025-01-02,Travis Scott,36263612,0,0
2025-01-02,Ed Sheeran,19378723,0,0
2025-01-02,Miley Cyrus,10771346,0,0
2025-01-02,SZA,132653130,0,0
2025-01-02,Harry Styles,9981815,0,0
2025-01-02,Jack Harlow,0,0,0
2025-01-02,Tate McRae,9535566,0,0
